created_at,entry_id,field1,latitude,longitude,elevation,status
2023-11-21T03:43:14+03:00,1,"0.00r
",,,,
2023-11-21T03:43:31+03:00,2,"0.00r
",,,,
2023-11-21T03:43:48+03:00,3,"0.00r
",,,,
2023-11-21T03:44:05+03:00,4,"0.00r
",,,,
2023-11-21T03:44:22+03:00,5,"0.00r
",,,,
2023-11-21T03:44:38+03:00,6,"0.00r
",,,,
2023-11-21T03:44:54+03:00,7,"0.00r
",,,,
2023-11-21T03:45:11+03:00,8,"0.00r
",,,,
2023-11-21T03:45:27+03:00,9,"0.00r
",,,,
2023-11-21T03:45:44+03:00,10,"0.00r
",,,,
2023-11-21T03:46:00+03:00,11,"0.00r
",,,,
2023-11-21T03:46:17+03:00,12,"0.00r
",,,,
2023-11-21T03:46:33+03:00,13,"0.00r
",,,,
2023-11-21T03:46:50+03:00,14,"0.00r
",,,,
2023-11-21T03:47:06+03:00,15,"0.00r
",,,,
2023-11-21T03:47:21+03:00,16,"0.00r
",,,,
2023-11-21T03:47:38+03:00,17,"0.00r
",,,,
2023-11-21T03:47:55+03:00,18,"0.00r
",,,,
2023-11-21T03:48:14+03:00,19,"0.00r
",,,,
2023-11-21T03:48:31+03:00,20,"0.00r
",,,,
2023-11-21T03:48:47+03:00,21,"0.00r
",,,,
2023-11-21T03:49:04+03:00,22,"0.00r
",,,,
2023-11-21T03:49:19+03:00,23,"0.00r
",,,,
2023-11-21T03:49:35+03:00,24,"0.00r
",,,,
2023-11-21T03:49:52+03:00,25,"0.00r
",,,,
2023-11-21T03:50:08+03:00,26,"0.00r
",,,,
2023-11-21T03:50:25+03:00,27,"0.00r
",,,,
2023-11-21T03:50:42+03:00,28,"0.00r
",,,,
2023-11-21T03:50:57+03:00,29,"0.00r
",,,,
2023-11-21T03:51:13+03:00,30,"0.00r
",,,,
2023-11-21T03:51:30+03:00,31,"0.00r
",,,,
2023-11-21T03:51:46+03:00,32,"0.00r
",,,,
2023-11-21T03:52:03+03:00,33,"0.00r
",,,,
2023-11-21T03:52:19+03:00,34,"0.00r
",,,,
2023-11-21T03:52:36+03:00,35,"0.00r
",,,,
2023-11-21T03:52:52+03:00,36,"0.00r
",,,,
2023-11-21T03:53:09+03:00,37,"0.00r
",,,,
2023-11-21T03:53:25+03:00,38,"0.00r
",,,,
2023-11-21T03:53:42+03:00,39,"0.00r
",,,,
2023-11-21T03:53:57+03:00,40,"0.00r
",,,,
2023-11-21T03:54:14+03:00,41,"0.00r
",,,,
2023-11-21T03:54:30+03:00,42,"0.00r
",,,,
2023-11-21T03:54:47+03:00,43,"0.00r
",,,,
2023-11-21T03:55:05+03:00,44,"0.00r
",,,,
2023-11-21T03:55:21+03:00,45,"0.00r
",,,,
2023-11-21T03:55:38+03:00,46,"0.00r
",,,,
2023-11-21T03:55:54+03:00,47,"0.00r
",,,,
2023-11-21T03:56:11+03:00,48,"0.00r
",,,,
2023-11-21T03:56:27+03:00,49,"0.00r
",,,,
2023-11-21T03:56:44+03:00,50,"0.00r
",,,,
